Time,Disturbance
14.2000,0.9417
14.2200,1.1656
14.2400,1.3866
14.2600,1.5912
14.2800,1.7585
14.3000,1.8753
14.3200,1.9373
14.3400,1.9485
14.3600,1.9203
14.3800,1.8693
14.4000,1.8148
14.4200,1.7753
14.4400,1.7646
14.4600,1.7863
14.4800,1.8286
14.5000,1.8599
14.5200,1.8489
14.5400,1.7840
14.5600,1.6698
14.5800,1.5208
14.6000,1.3567
14.6200,1.1984
14.6400,1.0641
14.6600,0.9670
14.6800,0.9129
14.7000,0.8998
14.7200,0.9165
14.7400,0.9445
14.7600,0.9723
14.7800,0.9928
14.8000,0.9924
14.8200,0.9582
14.8400,0.8821
14.8600,0.7645
14.8800,0.6144
14.9000,0.4490
14.9200,0.2896
14.9400,0.1567
14.9600,0.0622
14.9800,0.0000
15.0000,-0.0551
15.0200,-0.1117
15.0400,-0.1715
15.0600,-0.2365
15.0800,-0.3085
15.1000,-0.3895
15.1200,-0.4808
15.1400,-0.5835
15.1600,-0.6977
15.1800,-0.8224
15.2000,-0.9550
15.2200,-1.0913
15.2400,-1.2253
15.2600,-1.3591
15.2800,-1.4965
15.3000,-1.6324
15.3200,-1.7574
15.3400,-1.8614
15.3600,-1.9366
15.3800,-1.9789
15.4000,-1.9891
15.4200,-1.9720
15.4400,-1.9350
15.4600,-1.8859
15.4800,-1.8286
15.5000,-1.7670
15.5200,-1.7211
15.5400,-1.7007
15.5600,-1.7027
15.5800,-1.7159
15.6000,-1.7254
15.6200,-1.7160
15.6400,-1.6755
15.6600,-1.5962
15.6800,-1.4764
15.7000,-1.3211
15.7200,-1.1418
15.7400,-0.9556
15.7600,-0.7871
15.7800,-0.6568
15.8000,-0.5730
15.8200,-0.5334
15.8400,-0.5270
15.8600,-0.5368
15.8800,-0.5427
15.9000,-0.5244
15.9200,-0.4651
15.9400,-0.3547
15.9600,-0.1943
15.9800,0.0000
16.0000,0.2018
16.0200,0.4034
16.0400,0.5964
16.0600,0.7691
16.0800,0.9110
16.1000,1.0167
16.1200,1.0868
16.1400,1.1287
16.1600,1.1547
16.1800,1.1794
16.2000,1.2150
16.2200,1.2650
16.2400,1.3180
16.2600,1.3635
16.2800,1.4034
16.3000,1.4382
16.3200,1.4665
16.3400,1.4856
16.3600,1.4922
16.3800,1.4829
16.4000,1.4547
16.4200,1.4057
16.4400,1.3357
16.4600,1.2465
16.4800,1.1429
16.5000,1.0307
16.5200,0.9113
16.5400,0.7843
16.5600,0.6500
16.5800,0.5088
16.6000,0.3615
16.6200,0.2094
16.6400,0.0540
16.6600,-0.1023
16.6800,-0.2562
16.7000,-0.4034
16.7200,-0.5382
16.7400,-0.6536
16.7600,-0.7537
16.7800,-0.8445
16.8000,-0.9210
16.8200,-0.9723
16.8400,-0.9869
16.8600,-0.9563
16.8800,-0.8770
16.9000,-0.7517
16.9200,-0.5889
16.9400,-0.4011
16.9600,-0.2015
16.9800,0.0000
17.0000,0.1997
17.0200,0.3882
17.0400,0.5506
17.0600,0.6724
17.0800,0.7427
17.1000,0.7569
17.1200,0.7176
17.1400,0.6344
17.1600,0.5225
17.1800,0.3998
17.2000,0.2831
17.2200,0.1824
17.2400,0.0954
17.2600,0.0157
17.2800,-0.0533
17.3000,-0.1050
17.3200,-0.1318
17.3400,-0.1278
17.3600,-0.0893
17.3800,-0.0157
17.4000,0.0898
17.4200,0.2212
17.4400,0.3701
17.4600,0.5276
17.4800,0.6857
17.5000,0.8402
17.5200,0.9887
17.5400,1.1251
17.5600,1.2413
17.5800,1.3294
17.6000,1.3829
17.6200,1.3985
17.6400,1.3758
17.6600,1.3176
17.6800,1.2292
17.7000,1.1173
17.7200,0.9881
17.7400,0.8450
17.7600,0.6864
17.7800,0.5149
17.8000,0.3398
17.8200,0.1739
17.8400,0.0301
17.8600,-0.0810
17.8800,-0.1526
17.9000,-0.1825
17.9200,-0.1737
17.9400,-0.1333
17.9600,-0.0716
17.9800,0.0000
18.0000,0.0650
18.0200,0.0918
18.0400,0.0664
18.0600,-0.0064
18.0800,-0.1110
18.1000,-0.2271
18.1200,-0.3342
18.1400,-0.4162
18.1600,-0.4628
18.1800,-0.4711
18.2000,-0.4450
18.2200,-0.3938
18.2400,-0.3289
18.2600,-0.2545
18.2800,-0.1760
18.3000,-0.1056
18.3200,-0.0561
18.3400,-0.0356
18.3600,-0.0447
18.3800,-0.0755
18.4000,-0.1127
18.4200,-0.1370
18.4400,-0.1299
18.4600,-0.0817
18.4800,0.0000
18.5000,0.0904
18.5200,0.1863
18.5400,0.2896
18.5600,0.3984
18.5800,0.5085
18.6000,0.6141
18.6200,0.7087
18.6400,0.7861
18.6600,0.8407
18.6800,0.8688
18.7000,0.8687
18.7200,0.8418
18.7400,0.7929
18.7600,0.7293
18.7800,0.6576
18.8000,0.5824
18.8200,0.5069
18.8400,0.4330
18.8600,0.3621
18.8800,0.2945
18.9000,0.2304
18.9200,0.1695
18.9400,0.1113
18.9600,0.0551
18.9800,0.0000
19.0000,-0.0537
19.0200,-0.1014
19.0400,-0.1400
19.0600,-0.1686
19.0800,-0.1886
19.1000,-0.2023
19.1200,-0.2131
19.1400,-0.2247
19.1600,-0.2403
19.1800,-0.2623
19.2000,-0.2917
19.2200,-0.3275
19.2400,-0.3675
19.2600,-0.4286
19.2800,-0.5283
19.3000,-0.6603
19.3200,-0.8039
19.3400,-0.9345
19.3600,-1.0300
19.3800,-1.0757
19.4000,-1.0672
19.4200,-1.0097
19.4400,-0.9165
19.4600,-0.8042
19.4800,-0.6857
19.5000,-0.5652
19.5200,-0.4537
19.5400,-0.3711
19.5600,-0.3371
19.5800,-0.3650
19.6000,-0.4581
19.6200,-0.6081
19.6400,-0.7954
19.6600,-0.9928
19.6800,-1.1700
19.7000,-1.3014
19.7200,-1.3758
19.7400,-1.4082
19.7600,-1.4301
19.7800,-1.4543
19.8000,-1.4750
19.8200,-1.4777
19.8400,-1.4456
19.8600,-1.3654
19.8800,-1.2304
19.9000,-1.0422
19.9200,-0.8101
19.9400,-0.5489
19.9600,-0.2750
19.9800,0.0000
20.0000,0.2646
20.0200,0.4811
20.0400,0.6247
20.0600,0.6911
20.0800,0.6904
20.1000,0.6416
20.1200,0.5684
20.1400,0.4944
20.1600,0.4396
20.1800,0.4171
20.2000,0.4307
20.2200,0.4718
20.2400,0.5196
20.2600,0.5609
20.2800,0.5909
20.3000,0.5984
20.3200,0.5720
20.3400,0.5064
20.3600,0.4046
20.3800,0.2793
20.4000,0.1507
20.4200,0.0433
20.4400,-0.0211
20.4600,-0.0318
20.4800,0.0000
20.5000,0.0409
20.5200,0.0798
20.5400,0.1140
20.5600,0.1402
20.5800,0.1549
20.6000,0.1550
20.6200,0.1376
20.6400,0.1012
20.6600,0.0452
20.6800,-0.0292
20.7000,-0.1186
20.7200,-0.2174
20.7400,-0.3178
20.7600,-0.4194
20.7800,-0.5233
20.8000,-0.6217
20.8200,-0.7022
20.8400,-0.7519
20.8600,-0.7605
20.8800,-0.7227
20.9000,-0.6384
20.9200,-0.5131
20.9400,-0.3569
20.9600,-0.1820
20.9800,0.0000
21.0000,0.1838
21.0200,0.3699
21.0400,0.5527
21.0600,0.7230
21.0800,0.8709
21.1000,0.9895
21.1200,1.0756
21.1400,1.1307
21.1600,1.1605
21.1800,1.1729
21.2000,1.1755
21.2200,1.1719
21.2400,1.1571
21.2600,1.1283
21.2800,1.0912
21.3000,1.0499
21.3200,1.0073
21.3400,0.9651
21.3600,0.9240
21.3800,0.8843
21.4000,0.8456
21.4200,0.8073
21.4400,0.7686
21.4600,0.7285
21.4800,0.6857
21.5000,0.6335
21.5200,0.5521
21.5400,0.4349
21.5600,0.2887
21.5800,0.1269
21.6000,-0.0348
21.6200,-0.1830
21.6400,-0.3084
21.6600,-0.4068
21.6800,-0.4789
21.7000,-0.5283
21.7200,-0.5590
21.7400,-0.5713
21.7600,-0.5800
21.7800,-0.6056
21.8000,-0.6513
21.8200,-0.7081
21.8400,-0.7604
21.8600,-0.7905
21.8800,-0.7821
21.9000,-0.7235
21.9200,-0.6095
21.9400,-0.4426
21.9600,-0.2334
21.9800,0.0000
22.0000,0.2382
22.0200,0.4736
22.0400,0.6922
22.0600,0.8754
22.0800,1.0068
22.1000,1.0769
22.1200,1.0851
22.1400,1.0407
22.1600,0.9600
22.1800,0.8633
22.2000,0.7683
22.2200,0.6818
22.2400,0.5907
22.2600,0.4838
22.2800,0.3679
22.3000,0.2493
22.3200,0.1329
22.3400,0.0224
22.3600,-0.0794
22.3800,-0.1705
22.4000,-0.2498
22.4200,-0.3170
22.4400,-0.3726
22.4600,-0.4184
22.4800,-0.4571
22.5000,-0.4977
22.5200,-0.5582
22.5400,-0.6402
22.5600,-0.7311
22.5800,-0.8123
22.6000,-0.8655
22.6200,-0.8771
22.6400,-0.8409
22.6600,-0.7590
22.6800,-0.6407
22.7000,-0.5000
22.7200,-0.3508
22.7400,-0.2008
22.7600,-0.0506
22.7800,0.0921
22.8000,0.2135
22.8200,0.2997
22.8400,0.3413
22.8600,0.3362
22.8800,0.2909
22.9000,0.2189
22.9200,0.1388
22.9400,0.0694
22.9600,0.0236
22.9800,0.0000
23.0000,-0.0268
23.0200,-0.0911
23.0400,-0.2000
23.0600,-0.3391
23.0800,-0.4839
23.1000,-0.6082
23.1200,-0.6908
23.1400,-0.7191
23.1600,-0.6909
23.1800,-0.6136
23.2000,-0.5008
23.2200,-0.3672
23.2400,-0.2206
23.2600,-0.0609
23.2800,0.1027
23.3000,0.2529
23.3200,0.3721
23.3400,0.4482
23.3600,0.4781
23.3800,0.4687
23.4000,0.4362
23.4200,0.4022
23.4400,0.3883
23.4600,0.4082
23.4800,0.4571
23.5000,0.5114
23.5200,0.5661
23.5400,0.6219
23.5600,0.6771
23.5800,0.7282
23.6000,0.7712
23.6200,0.8013
23.6400,0.8145
23.6600,0.8075
23.6800,0.7786
23.7000,0.7280
23.7200,0.6587
23.7400,0.5766
23.7600,0.4900
23.7800,0.4056
23.8000,0.3280
23.8200,0.2596
23.8400,0.2016
23.8600,0.1538
23.8800,0.1152
23.9000,0.0842
23.9200,0.0590
23.9400,0.0376
23.9600,0.0184
23.9800,0.0000
24.0000,-0.0216
24.0200,-0.0583
24.0400,-0.1150
24.0600,-0.1890
24.0800,-0.2740
24.1000,-0.3626
24.1200,-0.4486
24.1400,-0.5281
24.1600,-0.5997
24.1800,-0.6643
24.2000,-0.7237
24.2200,-0.7788
24.2400,-0.8276
24.2600,-0.8835
24.2800,-0.9633
24.3000,-1.0649
24.3200,-1.1743
24.3400,-1.2720
24.3600,-1.3382
24.3800,-1.3572
24.4000,-1.3196
24.4200,-1.2243
24.4400,-1.0775
24.4600,-0.8923
24.4800,-0.6857
24.5000,-0.4802
24.5200,-0.3103
24.5400,-0.1962
24.5600,-0.1404
24.5800,-0.1330
24.6000,-0.1558
24.6200,-0.1865
24.6400,-0.2026
24.6600,-0.1853
24.6800,-0.1227
24.7000,-0.0139
24.7200,0.1290
24.7400,0.2782
24.7600,0.4141
24.7800,0.5284
24.8000,0.6070
24.8200,0.6367
24.8400,0.6109
24.8600,0.5324
24.8800,0.4144
24.9000,0.2785
24.9200,0.1510
24.9400,0.0565
24.9600,0.0088
24.9800,0.0000
25.0000,-0.0044
25.0200,-0.0283
25.0400,-0.0747
25.0600,-0.1356
25.0800,-0.1979
25.1000,-0.2477
25.1200,-0.2743
25.1400,-0.2717
25.1600,-0.2394
25.1800,-0.1820
25.2000,-0.1070
25.2200,-0.0217
25.2400,0.0708
25.2600,0.1632
25.2800,0.2425
25.3000,0.3017
25.3200,0.3397
25.3400,0.3602
25.3600,0.3707
25.3800,0.3807
25.4000,0.4004
25.4200,0.4385
25.4400,0.5004
25.4600,0.5857
25.4800,0.6857
25.5000,0.7863
25.5200,0.8851
25.5400,0.9773
25.5600,1.0544
25.5800,1.1082
25.6000,1.1331
25.6200,1.1273
25.6400,1.0941
25.6600,1.0401
25.6800,0.9746
25.7000,0.9061
25.7200,0.8385
25.7400,0.7673
25.7600,0.6896
25.7800,0.6105
25.8000,0.5339
25.8200,0.4616
25.8400,0.3943
25.8600,0.3319
25.8800,0.2733
25.9000,0.2174
25.9200,0.1630
25.9400,0.1090
25.9600,0.0547
25.9800,0.0000
26.0000,-0.0539
26.0200,-0.1030
26.0400,-0.1451
26.0600,-0.1801
26.0800,-0.2097
26.1000,-0.2368
26.1200,-0.2650
26.1400,-0.2978
26.1600,-0.3386
26.1800,-0.3894
26.2000,-0.4509
26.2200,-0.5219
26.2400,-0.5988
26.2600,-0.6831
26.2800,-0.7779
26.3000,-0.8797
26.3200,-0.9817
26.3400,-1.0765
26.3600,-1.1583
26.3800,-1.2237
26.4000,-1.2728
26.4200,-1.3081
26.4400,-1.3340
26.4600,-1.3547
26.4800,-1.3714
26.5000,-1.3818
26.5200,-1.3882
